CD_GEOCMU,Nome Município,Estado,Agrupamento,Conjunto,Condição
3532504,NEVES PAULISTA,São Paulo,São José do Rio Preto,SP02,Incipiente
3532603,NHANDEARA,São Paulo,Votuporanga,Sem conjunto,Meta
3532702,NIPOÃ,São Paulo,José Bonifácio,Sem conjunto,Meta
3532801,NOVA ALIANÇA,São Paulo,José Bonifácio,Sem conjunto,Meta
3532827,NOVA CAMPINA,São Paulo,Itaberá,Sem conjunto,Meta
3532843,NOVA CANAÃ PAULISTA,São Paulo,Jales,Sem conjunto,Meta
3532868,NOVA CASTILHO,São Paulo,Auriflama,Sem conjunto,Meta
3532900,NOVA EUROPA,São Paulo,Araraquara,Sem conjunto,Meta
3533007,NOVA GRANADA,São Paulo,Tanabi,Sem conjunto,Meta
3533106,NOVA GUATAPORANGA,São Paulo,Tupi Paulista,Sem conjunto,Meta
3533205,NOVA INDEPENDÊNCIA,São Paulo,Andradina,SP02,1º Marco
3533304,NOVA LUZITÂNIA,São Paulo,Auriflama,Sem conjunto,Meta
3533403,NOVA ODESSA,São Paulo,Irrestritos como o Vento,SP08,2º Marco
3533254,NOVAIS,São Paulo,Catanduva,Sem conjunto,Meta
3533502,NOVO HORIZONTE,São Paulo,Catanduva,Sem conjunto,Meta
3533601,NUPORANGA,São Paulo,São Joaquim da Barra,Sem conjunto,Meta
3533700,OCAUÇU,São Paulo,Pompéia,Sem conjunto,Meta
3533809,ÓLEO,São Paulo,Ourinhos,Sem conjunto,Meta
3533908,OLÍMPIA,São Paulo,Centelha da Fé,SP02,2º Marco
3534005,ONDA VERDE,São Paulo,São José do Rio Preto,SP02,Incipiente
3534104,ORIENTE,São Paulo,Pompéia,Sem conjunto,Meta
3534203,ORINDIÚVA,São Paulo,Tanabi,Sem conjunto,Meta
3534302,ORLÂNDIA,São Paulo,São Joaquim da Barra,Sem conjunto,Meta
3534401,OSASCO,São Paulo,Caminhos,SP04,1º Marco
3534500,OSCAR BRESSANE,São Paulo,Pompéia,Sem conjunto,Meta
3534609,OSVALDO CRUZ,São Paulo,Adamantina,Sem conjunto,Meta
3534708,OURINHOS,São Paulo,Ourinhos,Sem conjunto,Meta
3534807,OURO VERDE,São Paulo,Tupi Paulista,Sem conjunto,Meta
3534757,OUROESTE,São Paulo,Fernandópolis,Sem conjunto,Meta
3534906,PACAEMBU,São Paulo,Adamantina,Sem conjunto,Meta
3535002,PALESTINA,São Paulo,Tanabi,Sem conjunto,Meta
3535101,PALMARES PAULISTA,São Paulo,Catanduva,Sem conjunto,Meta
3535200,PALMEIRA D'OESTE,São Paulo,Jales,Sem conjunto,Meta
3535309,PALMITAL,São Paulo,Assis,Sem conjunto,Meta
3535408,PANORAMA,São Paulo,Tupi Paulista,Sem conjunto,Meta
3535507,PARAGUAÇU PAULISTA,São Paulo,Assis,Sem conjunto,Meta
3535606,PARAIBUNA,São Paulo,estrela do Vale,SP04,2º Marco
3535705,PARAÍSO,São Paulo,Catanduva,Sem conjunto,Meta
3535804,PARANAPANEMA,São Paulo,Avaré,Sem conjunto,Meta
3535903,PARANAPUÃ,São Paulo,Jales,Sem conjunto,Meta
3536000,PARAPUÃ,São Paulo,Tupã,SP01,1º Marco
3536109,PARDINHO,São Paulo,Botucatu,Sem conjunto,Meta
3536208,PARIQUERA-AÇU,São Paulo,Registro,Sem conjunto,Meta
3536257,PARISI,São Paulo,Votuporanga,Sem conjunto,Meta
3536307,PATROCÍNIO PAULISTA,São Paulo,Franca,Sem conjunto,Meta
3536406,PAULICÉIA,São Paulo,Tupi Paulista,Sem conjunto,Meta
3536505,PAULÍNIA,São Paulo,Campinas,SP06,1º Marco
3536570,PAULISTÂNIA,São Paulo,Fênix Dourada,SP01,2º Marco
3536604,PAULO DE FARIA,São Paulo,Tanabi,Sem conjunto,Meta
3536703,PEDERNEIRAS,São Paulo,Fênix Dourada,SP01,2º Marco
3536802,PEDRA BELA,São Paulo,Jarinu,SP06,1º Marco
3536901,PEDRANÓPOLIS,São Paulo,Fernandópolis,Sem conjunto,Meta
3537008,PEDREGULHO,São Paulo,Franca,Sem conjunto,Meta
3537107,PEDREIRA,São Paulo,Amparo,SP07,1º Marco
3537156,PEDRINHAS PAULISTA,São Paulo,Assis,Sem conjunto,Meta
3537206,PEDRO DE TOLEDO,São Paulo,Litoral Sul,Sem conjunto,Meta
3537305,PENÁPOLIS,São Paulo,Penápolis,Sem conjunto,Meta
3537404,PEREIRA BARRETO,São Paulo,Ilha Solteira,Sem conjunto,Meta
3537503,PEREIRAS,São Paulo,Botucatu,Sem conjunto,Meta
3537602,PERUÍBE,São Paulo,Baixada,Sem conjunto,Meta
3537701,PIACATU,São Paulo,Araçatuba,Sem conjunto,Meta
3537800,PIEDADE,São Paulo,Sorocaba,SP05,1º Marco
3537909,PILAR DO SUL,São Paulo,Sorocaba,SP05,1º Marco
3538006,PINDAMONHANGABA,São Paulo,Campos do Jordão,Sem conjunto,Meta
3538105,PINDORAMA,São Paulo,Catanduva,Sem conjunto,Meta
3538204,PINHALZINHO,São Paulo,Jarinu,SP06,1º Marco
3538303,PIQUEROBI,São Paulo,Presidente Epitácio,Sem conjunto,Meta
3538501,PIQUETE,São Paulo,Guaratinguetá,SP04,1º Marco
3538600,PIRACAIA,São Paulo,Jarinu,SP06,1º Marco
3538709,PIRACICABA,São Paulo,Piracicaba,SP08,1º Marco
3538808,PIRAJU,São Paulo,Avaré,Sem conjunto,Meta
3538907,PIRAJUÍ,São Paulo,Fênix Dourada,SP01,2º Marco
3539004,PIRANGI,São Paulo,Monte Azul Paulista,Sem conjunto,Meta
3539103,PIRAPORA DO BOM JESUS,São Paulo,Cajamar,SP06,1º Marco
3539202,PIRAPOZINHO,São Paulo,Presidente Prudente,SP01,1º Marco
3539301,PIRASSUNUNGA,São Paulo,Pirassununga,Sem conjunto,Meta
3539400,PIRATININGA,São Paulo,Fênix Dourada,SP01,2º Marco
3539509,PITANGUEIRAS,São Paulo,Jaboticabal,SP03,1º Marco
3539608,PLANALTO,São Paulo,José Bonifácio,Sem conjunto,Meta
3539707,PLATINA,São Paulo,Assis,Sem conjunto,Meta
3539806,POÁ,São Paulo,Mogi das Cruzes,SP04,1º Marco
3539905,POLONI,São Paulo,São José do Rio Preto,SP02,Incipiente
3540002,POMPÉIA,São Paulo,Pompéia,Sem conjunto,Meta
3540101,PONGAÍ,São Paulo,Lins,SP01,1º Marco
3540200,PONTAL,São Paulo,Jaboticabal,SP03,1º Marco
3540259,PONTALINDA,São Paulo,Fernandópolis,Sem conjunto,Meta
3540309,PONTES GESTAL,São Paulo,Votuporanga,Sem conjunto,Meta
3540408,POPULINA,São Paulo,Fernandópolis,Sem conjunto,Meta
3540507,PORANGABA,São Paulo,Botucatu,Sem conjunto,Meta
3540606,PORTO FELIZ,São Paulo,Rouxinol,SP05,2º Marco
3540705,PORTO FERREIRA,São Paulo,Sol Divino,SP03,2º Marco
3540754,POTIM,São Paulo,Guaratinguetá,SP04,1º Marco
3540804,POTIRENDABA,São Paulo,José Bonifácio,Sem conjunto,Meta
3540853,PRACINHA,São Paulo,Adamantina,Sem conjunto,Meta
3540903,PRADÓPOLIS,São Paulo,Jaboticabal,SP03,1º Marco
3541000,PRAIA GRANDE,São Paulo,Baixada,Sem conjunto,Meta
3541059,PRATÂNIA,São Paulo,Botucatu,Sem conjunto,Meta
3541109,PRESIDENTE ALVES,São Paulo,Fênix Dourada,SP01,2º Marco
3541208,PRESIDENTE BERNARDES,São Paulo,Presidente Prudente,SP01,1º Marco
3541307,PRESIDENTE EPITÁCIO,São Paulo,Presidente Epitácio,Sem conjunto,Meta
3541406,PRESIDENTE PRUDENTE,São Paulo,Presidente Prudente,SP01,1º Marco
3541505,PRESIDENTE VENCESLAU,São Paulo,Presidente Epitácio,Sem conjunto,Meta
3541604,PROMISSÃO,São Paulo,Lins,SP01,1º Marco
3541653,QUADRA,São Paulo,Tatuí,Sem conjunto,Meta
3541703,QUATÁ,São Paulo,Tupã,SP01,1º Marco
3541802,QUEIROZ,São Paulo,Tupã,SP01,1º Marco
3541901,QUELUZ,São Paulo,Cruzeiro,Sem conjunto,Meta
3542008,QUINTANA,São Paulo,Tupã,SP01,1º Marco
3542107,RAFARD,São Paulo,Piracicaba,SP08,1º Marco
3542206,RANCHARIA,São Paulo,Rancharia,Sem conjunto,Meta
3542305,REDENÇÃO DA SERRA,São Paulo,Campos do Jordão,Sem conjunto,Meta
3542404,REGENTE FEIJÓ,São Paulo,Presidente Prudente,SP01,1º Marco
3542503,REGINÓPOLIS,São Paulo,Fênix Dourada,SP01,2º Marco
3542602,REGISTRO,São Paulo,Registro,Sem conjunto,Meta
3542701,RESTINGA,São Paulo,Franca,Sem conjunto,Meta
3542800,RIBEIRA,São Paulo,Ribeira,Sem conjunto,Meta
3542909,RIBEIRÃO BONITO,São Paulo,Sol Divino,SP03,2º Marco
3543006,RIBEIRÃO BRANCO,São Paulo,Ribeira,Sem conjunto,Meta
3543105,RIBEIRÃO CORRENTE,São Paulo,Franca,Sem conjunto,Meta
3543204,RIBEIRÃO DO SUL,São Paulo,Ourinhos,Sem conjunto,Meta
3543238,RIBEIRÃO DOS ÍNDIOS,São Paulo,Presidente Epitácio,Sem conjunto,Meta
3543253,RIBEIRÃO GRANDE,São Paulo,Ribeira,Sem conjunto,Meta
3543303,RIBEIRÃO PIRES,São Paulo,Mauá,SP04,1º Marco
3543402,RIBEIRÃO PRETO,São Paulo,Luz de Deus,SP03,1º Marco
3543600,RIFAINA,São Paulo,Franca,Sem conjunto,Meta
3543709,RINCÃO,São Paulo,Araraquara,Sem conjunto,Meta
3543808,RINÓPOLIS,São Paulo,Tupã,SP01,1º Marco
3543907,RIO CLARO,São Paulo,Rio Claro,SP07,Incipiente
3544004,RIO DAS PEDRAS,São Paulo,Piracicaba,SP08,1º Marco
3544103,RIO GRANDE DA SERRA,São Paulo,Mauá,SP04,1º Marco
3544202,RIOLÂNDIA,São Paulo,Votuporanga,Sem conjunto,Meta
3543501,RIVERSUL,São Paulo,Itaberá,Sem conjunto,Meta
3544251,ROSANA,São Paulo,Presidente Epitácio,Sem conjunto,Meta
3544301,ROSEIRA,São Paulo,Guaratinguetá,SP04,1º Marco
3544400,RUBIÁCEA,São Paulo,Araçatuba,Sem conjunto,Meta
3544509,RUBINÉIA,São Paulo,Jales,Sem conjunto,Meta
3544608,SABINO,São Paulo,Lins,SP01,1º Marco
3544707,SAGRES,São Paulo,Adamantina,Sem conjunto,Meta
3544806,SALES,São Paulo,Catanduva,Sem conjunto,Meta
3544905,SALES DE OLIVEIRA,São Paulo,São Joaquim da Barra,Sem conjunto,Meta
3545001,SALESÓPOLIS,São Paulo,Mogi das Cruzes,SP04,1º Marco
3545100,SALMOURÃO,São Paulo,Adamantina,Sem conjunto,Meta
3545159,SALTINHO,São Paulo,Piracicaba,SP08,1º Marco
3545209,SALTO,São Paulo,Rouxinol,SP05,2º Marco
3545308,SALTO DE PIRAPORA,São Paulo,Sorocaba,SP05,1º Marco
3545407,SALTO GRANDE,São Paulo,Ourinhos,Sem conjunto,Meta
3545506,SANDOVALINA,São Paulo,Presidente Prudente,SP01,1º Marco
3545605,SANTA ADÉLIA,São Paulo,Catanduva,Sem conjunto,Meta
3545704,SANTA ALBERTINA,São Paulo,Jales,Sem conjunto,Meta
3545803,SANTA BÁRBARA D'OESTE,São Paulo,Irrestritos como o Vento,SP08,2º Marco
3546009,SANTA BRANCA,São Paulo,Estrela do Vale,SP04,2º Marco
3546108,SANTA CLARA D'OESTE,São Paulo,Jales,Sem conjunto,Meta
3546207,SANTA CRUZ DA CONCEIÇÃO,São Paulo,Pirassununga,Sem conjunto,Meta
3546256,SANTA CRUZ DA ESPERANÇA,São Paulo,Cajuru,Sem conjunto,Meta
3546306,SANTA CRUZ DAS PALMEIRAS,São Paulo,Pirassununga,Sem conjunto,Meta
3546405,SANTA CRUZ DO RIO PARDO,São Paulo,Ourinhos,Sem conjunto,Meta
3546504,SANTA ERNESTINA,São Paulo,Araraquara,Sem conjunto,Meta
3546603,SANTA FÉ DO SUL,São Paulo,Jales,Sem conjunto,Meta
3546702,SANTA GERTRUDES,São Paulo,Rio Claro,SP07,Incipiente
3546801,SANTA ISABEL,São Paulo,Estrela do Vale,SP04,2º Marco
3546900,SANTA LÚCIA,São Paulo,Araraquara,Sem conjunto,Meta
3547007,SANTA MARIA DA SERRA,São Paulo,Piracicaba,SP08,1º Marco
3547106,SANTA MERCEDES,São Paulo,Tupi Paulista,Sem conjunto,Meta
3547403,SANTA RITA D'OESTE,São Paulo,Jales,Sem conjunto,Meta
3547502,SANTA RITA DO PASSA QUATRO,São Paulo,Sol Divino,SP03,2º Marco
3547601,SANTA ROSA DE VITERBO,São Paulo,Cajuru,Sem conjunto,Meta
3547650,SANTA SALETE,São Paulo,Jales ,Sem conjunto,Meta
3547205,SANTANA DA PONTE PENSA,São Paulo,Jales,Sem conjunto,Meta
3547304,SANTANA DE PARNAÍBA,São Paulo,Santana de Parnaíba,SP04,1º Marco
3547700,SANTO ANASTÁCIO,São Paulo,Presidente Epitácio,Sem conjunto,Meta
3547809,SANTO ANDRÉ,São Paulo,Seguidores da Glória,SP04,2º Marco
3547908,SANTO ANTÔNIO DA ALEGRIA,São Paulo,Cajuru,Sem conjunto,Meta
3548005,SANTO ANTÔNIO DE POSSE,São Paulo,Mogi Mirim,SP07,1º Marco
3548054,SANTO ANTÔNIO DO ARACANGUÁ,São Paulo,Auriflama,Sem conjunto,Meta
3548104,SANTO ANTÔNIO DO JARDIM,São Paulo,Aguaí,Sem conjunto,Meta
3548203,SANTO ANTÔNIO DO PINHAL,São Paulo,Campos do Jordão,Sem conjunto,Meta
3548302,SANTO EXPEDITO,São Paulo,Presidente Prudente,SP01,1º Marco
3548401,SANTÓPOLIS DO AGUAPEÍ,São Paulo,Penápolis,Sem conjunto,Meta
3548500,SANTOS,São Paulo,Baixada,Sem conjunto,Meta
3548609,SÃO BENTO DO SAPUCAÍ,São Paulo,Campos do Jordão,Sem conjunto,Meta
3548708,SÃO BERNARDO DO CAMPO,São Paulo,Seguidores da Glória,SP04,2º Marco
3548807,SÃO CAETANO DO SUL,São Paulo,Seguidores da Glória,SP04,2º Marco
3548906,SÃO CARLOS,São Paulo,Sol Divino,SP03,2º Marco
3549003,SÃO FRANCISCO,São Paulo,Jales,Sem conjunto,Meta
3549102,SÃO JOÃO DA BOA VISTA,São Paulo,Aguaí,Sem conjunto,Meta
3549201,SÃO JOÃO DAS DUAS PONTES,São Paulo,Fernandópolis,Sem conjunto,Meta
3549250,SÃO JOÃO DE IRACEMA,São Paulo,Auriflama,Sem conjunto,Meta
3549300,SÃO JOÃO DO PAU D'ALHO,São Paulo,Tupi Paulista,Sem conjunto,Meta
3549409,SÃO JOAQUIM DA BARRA,São Paulo,São Joaquim da Barra,Sem conjunto,Meta
3549508,SÃO JOSÉ DA BELA VISTA,São Paulo,Franca,Sem conjunto,Meta
3549607,SÃO JOSÉ DO BARREIRO,São Paulo,Cruzeiro,Sem conjunto,Meta
3549706,SÃO JOSÉ DO RIO PARDO,São Paulo,Aguaí,Sem conjunto,Meta
3549805,SÃO JOSÉ DO RIO PRETO,São Paulo,São José do Rio Preto,SP02,Incipiente
3549904,SÃO JOSÉ DOS CAMPOS,São Paulo,Estrela do Vale,SP04,2º Marco
3549953,SÃO LOURENÇO DA SERRA,São Paulo,Caminhos,SP04,1º Marco
3550001,SÃO LUÍS DO PARAITINGA,São Paulo,Campos do Jordão,Sem conjunto,Meta
3550100,SÃO MANUEL,São Paulo,Botucatu,Sem conjunto,Meta
3550209,SÃO MIGUEL ARCANJO,São Paulo,Tatuí,Sem conjunto,Meta
3550308,SÃO PAULO,São Paulo,Sampa,SP04,2º Marco
3550407,SÃO PEDRO,São Paulo,Piracicaba,SP08,1º Marco
3550506,SÃO PEDRO DO TURVO,São Paulo,Ourinhos,Sem conjunto,Meta
3550605,SÃO ROQUE,São Paulo,Caminhos,SP04,1º Marco
3550704,SÃO SEBASTIÃO,São Paulo,Litoral Norte,Sem conjunto,Meta
3550803,SÃO SEBASTIÃO DA GRAMA,São Paulo,Aguaí,Sem conjunto,Meta
3550902,SÃO SIMÃO,São Paulo,Cajuru,Sem conjunto,Meta
3551009,SÃO VICENTE,São Paulo,Baixada,Sem conjunto,Meta
3551108,SARAPUÍ,São Paulo,Tatuí,Sem conjunto,Meta
3551207,SARUTAIÁ,São Paulo,Avaré,Sem conjunto,Meta
3551306,SEBASTIANÓPOLIS DO SUL,São Paulo,São José do Rio Preto,SP02,Incipiente
3551405,SERRA AZUL,São Paulo,Luz de Deus,SP03,1º Marco
3551603,SERRA NEGRA,São Paulo,Amparo,SP07,1º Marco
3551504,SERRANA,São Paulo,Luz de Deus,SP03,1º Marco
3551702,SERTÃOZINHO,São Paulo,Luz de Deus,SP03,1º Marco
3551801,SETE BARRAS,São Paulo,Registro,Sem conjunto,Meta
3551900,SEVERÍNIA,São Paulo,Centelha da Fé,SP02,2º Marco
3552007,SILVEIRAS,São Paulo,Cruzeiro,Sem conjunto,Meta
3552106,SOCORRO,São Paulo,Amparo,SP07,1º Marco
3552205,SOROCABA,São Paulo,Sorocaba,SP05,1º Marco
3552304,SUD MENNUCCI,São Paulo,Ilha Solteira,Sem conjunto,Meta
3552403,SUMARÉ,São Paulo,Campinas,SP06,1º Marco
3552551,SUZANÁPOLIS,São Paulo,Ilha Solteira,Sem conjunto,Meta
3552502,SUZANO,São Paulo,Mogi das Cruzes,SP04,1º Marco
3552601,TABAPUÃ,São Paulo,Catanduva,Sem conjunto,Meta
3552700,TABATINGA,São Paulo,Itápolis,Sem conjunto,Meta
3552809,TABOÃO DA SERRA,São Paulo,Caminhos,SP04,1º Marco
3552908,TACIBA,São Paulo,Rancharia,Sem conjunto,Meta
3553005,TAGUAÍ,São Paulo,Avaré,Sem conjunto,Meta
3553104,TAIAÇU,São Paulo,Monte Azul Paulista,Sem conjunto,Meta
3553203,TAIÚVA,São Paulo,Monte Azul Paulista,Sem conjunto,Meta
3553302,TAMBAÚ,São Paulo,Aguaí,Sem conjunto,Meta
3553401,TANABI,São Paulo,Tanabi,Sem conjunto,Meta
3553500,TAPIRAÍ,São Paulo,Sorocaba,SP05,1º Marco
3553609,TAPIRATIBA,São Paulo,Aguaí,Sem conjunto,Meta
3553658,TAQUARAL,São Paulo,Jaboticabal,SP03,1º Marco
3553708,TAQUARITINGA,São Paulo,Itápolis,Sem conjunto,Meta
3553807,TAQUARITUBA,São Paulo,Avaré,Sem conjunto,Meta
3553856,TAQUARIVAÍ,São Paulo,Itaberá,Sem conjunto,Meta
3553906,TARABAI,São Paulo,Presidente Prudente,SP01,1º Marco
3553955,TARUMÃ,São Paulo,Assis,Sem conjunto,Meta
3554003,TATUÍ,São Paulo,Tatuí,Sem conjunto,Meta
3554102,TAUBATÉ,São Paulo,Campos do Jordão,Sem conjunto,Meta
3554201,TEJUPÁ,São Paulo,Avaré,Sem conjunto,Meta
3554300,TEODORO SAMPAIO,São Paulo,Presidente Epitácio,Sem conjunto,Meta
3554409,TERRA ROXA,São Paulo,Monte Azul Paulista,Sem conjunto,Meta
3554508,TIETÊ,São Paulo,Rouxinol,SP05,2º Marco
3554607,TIMBURI,São Paulo,Ourinhos,Sem conjunto,Meta
3554656,TORRE DE PEDRA,São Paulo,Tatuí,Sem conjunto,Meta
3554706,TORRINHA,São Paulo,Pirassununga,Sem conjunto,Meta
3554755,TRABIJU,São Paulo,Araraquara,Sem conjunto,Meta
3554805,TREMEMBÉ,São Paulo,Campos do Jordão,Sem conjunto,Meta
3554904,TRÊS FRONTEIRAS,São Paulo,Jales,Sem conjunto,Meta
3554953,TUIUTI,São Paulo,Jarinu,SP06,1º Marco
3555000,TUPÃ,São Paulo,Tupã,SP01,1º Marco
3555109,TUPI PAULISTA,São Paulo,Tupi Paulista,Sem conjunto,Meta
3555208,TURIÚBA,São Paulo,Auriflama,Sem conjunto,Meta
3555307,TURMALINA,São Paulo,Fernandópolis,Sem conjunto,Meta
3555356,UBARANA,São Paulo,José Bonifácio,Sem conjunto,Meta
3555406,UBATUBA,São Paulo,Litoral Norte,Sem conjunto,Meta
3555505,UBIRAJARA,São Paulo,Fênix Dourada,SP01,2º Marco
3555604,UCHOA,São Paulo,São José do Rio Preto,SP02,Incipiente
3555703,UNIÃO PAULISTA,São Paulo,José Bonifácio,Sem conjunto,Meta
3555802,URÂNIA,São Paulo,Jales,Sem conjunto,Meta
3555901,URU,São Paulo,Lins,SP01,1º Marco
3556008,URUPÊS,São Paulo,Catanduva,Sem conjunto,Meta
3556107,VALENTIM GENTIL,São Paulo,Votuporanga,Sem conjunto,Meta
3556206,VALINHOS,São Paulo,Andorinhas do Reino,SP06,2º Marco
3556305,VALPARAÍSO,São Paulo,Araçatuba,Sem conjunto,Meta
3556354,VARGEM,São Paulo,Jarinu,SP06,1º Marco
3556404,VARGEM GRANDE DO SUL,São Paulo,Aguaí,Sem conjunto,Meta
3556453,VARGEM GRANDE PAULISTA,São Paulo,Caminhos,SP04,1º Marco
3556503,VÁRZEA PAULISTA,São Paulo,Jundiaí,SP06,1º Marco
3556602,VERA CRUZ,São Paulo,Pompéia,Sem conjunto,Meta
3556701,VINHEDO,São Paulo,Andorinhas do Reino,SP06,2º Marco
3556800,VIRADOURO,São Paulo,Monte Azul Paulista,Sem conjunto,Meta
3556909,VISTA ALEGRE DO ALTO,São Paulo,Monte Azul Paulista,Sem conjunto,Meta
3556958,VITÓRIA BRASIL,São Paulo,Jales,Sem conjunto,Meta
3557006,VOTORANTIM,São Paulo,Sorocaba,SP05,1º Marco
3557105,VOTUPORANGA,São Paulo,Votuporanga,Sem conjunto,Meta
3557154,ZACARIAS,São Paulo,José Bonifácio,Sem conjunto,Meta
3300100,ANGRA DOS REIS,Rio de Janeiro,Angra dos Reis,Sem conjunto,Meta
3300159,APERIBÉ,Rio de Janeiro,Cambuci,Sem conjunto,Meta
3300209,ARARUAMA,Rio de Janeiro,Saquarema,Sem conjunto,Meta
3300225,AREAL,Rio de Janeiro,Sapucaia,Sem conjunto,Meta
3300233,ARMAÇÃO DOS BÁZIOS,Rio de Janeiro,Saquarema,Sem conjunto,Meta
3300258,ARRAIAL DO CABO,Rio de Janeiro,Saquarema,Sem conjunto,Meta
3300308,BARRA DO PIRAÍ,Rio de Janeiro,Vassouras,Sem conjunto,Meta
3300407,BARRA MANSA,Rio de Janeiro,Resende,Sem conjunto,Meta
3300456,BELFORD ROXO,Rio de Janeiro,Nova Iguaçu,RJ01,1º Marco
3300506,BOM JARDIM,Rio de Janeiro,Macuco,Sem conjunto,Meta
3300704,CABO FRIO,Rio de Janeiro,Saquarema,Sem conjunto,Meta
3300803,CACHOEIRAS DE MACACU,Rio de Janeiro,Cachoeiras do Macuco,Sem conjunto,Meta
3300902,CAMBUCI,Rio de Janeiro,Cambuci,Sem conjunto,Meta
3301108,CANTAGALO,Rio de Janeiro,Macuco,Sem conjunto,Meta
3300936,CARAPEBUS,Rio de Janeiro,Macaé,Sem conjunto,Meta
3301157,CARDOSO MOREIRA,Rio de Janeiro,Miracema,Sem conjunto,Meta
3301207,CARMO,Rio de Janeiro,Macuco,Sem conjunto,Meta
3301306,CASIMIRO DE ABREU,Rio de Janeiro,Cachoeiras do Macuco,Sem conjunto,Meta
3300951,COMENDADOR LEVY GASPARIAN,Rio de Janeiro,Sapucaia,Sem conjunto,Meta
3301405,CONCEIÇÃO DE MACABU,Rio de Janeiro,Macaé,Sem conjunto,Meta
3301504,CORDEIRO,Rio de Janeiro,Macuco,Sem conjunto,Meta
3301603,DUAS BARRAS,Rio de Janeiro,Macuco,Sem conjunto,Meta
3301801,ENGENHEIRO PAULO DE FRONTIN,Rio de Janeiro,Piraí,Sem conjunto,Meta
3301850,GUAPIMIRIM,Rio de Janeiro,Duque de Caxias,Sem conjunto,Meta
3301876,IGUABA GRANDE,Rio de Janeiro,Saquarema,Sem conjunto,Meta
3301900,ITABORAÍ,Rio de Janeiro,São Gonçalo,Sem conjunto,Meta
3302056,ITALVA,Rio de Janeiro,Miracema,Sem conjunto,Meta
3302106,ITAOCARA,Rio de Janeiro,Cambuci,Sem conjunto,Meta
3302205,ITAPERUNA,Rio de Janeiro,Miracema,Sem conjunto,Meta
3302254,ITATIAIA,Rio de Janeiro,Resende,Sem conjunto,Meta
3302270,JAPERI,Rio de Janeiro,Piraí,Sem conjunto,Meta
3302304,LAJE DO MURIAÉ,Rio de Janeiro,Miracema,Sem conjunto,Meta
3302403,MACAÉ,Rio de Janeiro,Macaé,Sem conjunto,Meta
3302452,MACUCO,Rio de Janeiro,Macuco,Sem conjunto,Meta
3302502,MAGÉ,Rio de Janeiro,Duque de Caxias,Sem conjunto,Meta
3302601,MANGARATIBA,Rio de Janeiro,Angra dos Reis,Sem conjunto,Meta
3302700,MARICÁ,Rio de Janeiro,Sol do Rio,RJ01,2º Marco
3302809,MENDES,Rio de Janeiro,Piraí,Sem conjunto,Meta
3302908,MIGUEL PEREIRA,Rio de Janeiro,Vassouras,Sem conjunto,Meta
3303005,MIRACEMA,Rio de Janeiro,Miracema,Sem conjunto,Meta
3303104,NATIVIDADE,Rio de Janeiro,Miracema,Sem conjunto,Meta
3303302,NITERÓI,Rio de Janeiro,Sol do Rio,RJ01,2º Marco
3303401,NOVA FRIBURGO,Rio de Janeiro,Luz da Serra,RJ01,1º Marco
3303609,PARACAMBI,Rio de Janeiro,Piraí,Sem conjunto,Meta
3303708,PARAÍBA DO SUL,Rio de Janeiro,Sapucaia,Sem conjunto,Meta
3303807,PARATY,Rio de Janeiro,Angra dos Reis,Sem conjunto,Meta
3303856,PATY DO ALFERES,Rio de Janeiro,Vassouras,Sem conjunto,Meta
3303906,PETRÓPOLIS,Rio de Janeiro,Luz da Serra,RJ01,1º Marco
3303955,PINHEIRAL,Rio de Janeiro,Vassouras,Sem conjunto,Meta
3304003,PIRAÍ,Rio de Janeiro,Piraí,Sem conjunto,Meta
3304110,PORTO REAL,Rio de Janeiro,Resende,Sem conjunto,Meta
3304128,QUATIS,Rio de Janeiro,Resende,Sem conjunto,Meta
3304144,QUEIMADOS,Rio de Janeiro,Piraí,Sem conjunto,Meta
3304151,QUISSAMÃ,Rio de Janeiro,Macaé,Sem conjunto,Meta
3304201,RESENDE,Rio de Janeiro,Resende,Sem conjunto,Meta
3304300,RIO BONITO,Rio de Janeiro,Rio Bonito,Sem conjunto,Meta
3304409,RIO CLARO,Rio de Janeiro,Piraí,Sem conjunto,Meta
3304508,RIO DAS FLORES,Rio de Janeiro,Vassouras,Sem conjunto,Meta
3304524,RIO DAS OSTRAS,Rio de Janeiro,Macaé,Sem conjunto,Meta
3304607,SANTA MARIA MADALENA,Rio de Janeiro,Macuco,Sem conjunto,Meta
3304706,SANTO ANTÔNIO DE PÁDUA,Rio de Janeiro,Cambuci,Sem conjunto,Meta
3304805,SÃO FIDÉLIS,Rio de Janeiro,Cambuci,Sem conjunto,Meta
3304904,SÃO GONÇALO,Rio de Janeiro,São Gonçalo,Sem conjunto,Meta
3305000,SÃO JOÃO DA BARRA,Rio de Janeiro,Campos,Sem conjunto,Meta
3305133,SÃO JOSÉ DE UBÁ,Rio de Janeiro,Cambuci,Sem conjunto,Meta
3305158,SÃO JOSÉ DO VALE DO RIO PRETO,Rio de Janeiro,Sapucaia,Sem conjunto,Meta
3305208,SÃO PEDRO DA ALDEIA,Rio de Janeiro,Saquarema,Sem conjunto,Meta
3305307,SÃO SEBASTIÃO DO ALTO,Rio de Janeiro,Macuco,Sem conjunto,Meta
3305406,SAPUCAIA,Rio de Janeiro,Sapucaia,Sem conjunto,Meta
3305505,SAQUAREMA,Rio de Janeiro,Saquarema,Sem conjunto,Meta
