CD_GEOCMU,Nome Município,Estado,Agrupamento,Conjunto,Condição
3507407,BORBOREMA,São Paulo,Itápolis,Sem conjunto,Meta
3507456,BOREBI,São Paulo,Fênix Dourada,SP01,2º Marco
3507506,BOTUCATU,São Paulo,Botucatu,Sem conjunto,Meta
3507605,BRAGANÇA PAULISTA,São Paulo,Jarinu,SP06,1º Marco
3507704,BRAÚNA,São Paulo,Penápolis,Sem conjunto,Meta
3507753,BREJO ALEGRE,São Paulo,Araçatuba,Sem conjunto,Meta
3507803,BRODOWSKI,São Paulo,Luz de Deus,SP03,1º Marco
3507902,BROTAS,São Paulo,Pirassununga,Sem conjunto,Meta
3508009,BURI,São Paulo,Itaberá,Sem conjunto,Meta
3508108,BURITAMA,São Paulo,Auriflama,Sem conjunto,Meta
3508207,BURITIZAL,São Paulo,Ituverava,Sem conjunto,Meta
3508306,CABRÁLIA PAULISTA,São Paulo,Fênix Dourada,SP01,2º Marco
3508405,CABREÚVA,São Paulo,Jundiaí,SP06,1º Marco
3508504,CAÇAPAVA,São Paulo,Estrela do Vale,SP04,2º Marco
3508603,CACHOEIRA PAULISTA,São Paulo,Guaratinguetá,SP04,1º Marco
3508702,CACONDE,São Paulo,Aguaí ,Sem conjunto,Meta
3508801,CAFELÂNDIA,São Paulo,Lins,SP01,1º Marco
3508900,CAIABU,São Paulo,Presidente Prudente,SP01,1º Marco
3509007,CAIEIRAS,São Paulo,Santana de Parnaíba,SP04,1º Marco
3509106,CAIUÁ,São Paulo,Presidente Epitácio,Sem conjunto,Meta
3509205,CAJAMAR,São Paulo,Cajamar,SP06,1º Marco
3509254,CAJATI,São Paulo,Registro,Sem conjunto,Meta
3509304,CAJOBI,São Paulo,Monte Azul Paulista,Sem conjunto,Meta
3509403,CAJURU,São Paulo,Cajuru,Sem conjunto,Meta
3509452,CAMPINA DO MONTE ALEGRE,São Paulo,Tatuí ,Sem conjunto,Meta
3509502,CAMPINAS,São Paulo,Campinas,SP06,1º Marco
3509601,CAMPO LIMPO PAULISTA,São Paulo,Jundiaí,SP06,1º Marco
3509700,CAMPOS DO JORDÃO,São Paulo,Campos do Jordão,Sem conjunto,Meta
3509809,CAMPOS NOVOS PAULISTA,São Paulo,Assis,Sem conjunto,Meta
3509908,CANANÉIA,São Paulo,Litoral Sul,Sem conjunto,Meta
3509957,CANAS,São Paulo,Cruzeiro,Sem conjunto,Meta
3510005,CÂNDIDO MOTA,São Paulo,Assis,Sem conjunto,Meta
3510104,CÂNDIDO RODRIGUES,São Paulo,Itápolis,Sem conjunto,Meta
3510153,CANITAR,São Paulo,Ourinhos,Sem conjunto,Meta
3510203,CAPÃO BONITO,São Paulo,Ribeira,Sem conjunto,Meta
3510302,CAPELA DO ALTO,São Paulo,Tatuí ,Sem conjunto,Meta
3510401,CAPIVARI,São Paulo,Indaiatuba,SP05,1º Marco
3510500,CARAGUATATUBA,São Paulo,Litoral Norte,Sem conjunto,Meta
3510609,CARAPICUÍBA,São Paulo,Caminhos,SP04,1º Marco
3510708,CARDOSO,São Paulo,Votuporanga,Sem conjunto,Meta
3510807,CASA BRANCA,São Paulo,Aguaí ,Sem conjunto,Meta
3510906,CÁSSIA DOS COQUEIROS,São Paulo,Cajuru,Sem conjunto,Meta
3511003,CASTILHO,São Paulo,Andradina,SP02,1º Marco
3511102,CATANDUVA,São Paulo,Catanduva,Sem conjunto,Meta
3511201,CATIGUÁ,São Paulo,Catanduva,Sem conjunto,Meta
3511300,CEDRAL,São Paulo,São José do Rio Preto,SP02,Incipiente
3511409,CERQUEIRA CÉSAR,São Paulo,Avaré,Sem conjunto,Meta
3511508,CERQUILHO,São Paulo,Tatuí ,Sem conjunto,Meta
3511607,CESÁRIO LANGE,São Paulo,Tatuí ,Sem conjunto,Meta
3511706,CHARQUEADA,São Paulo,Piracicaba,SP08,1º Marco
3557204,CHAVANTES,São Paulo,Ourinhos,Sem conjunto,Meta
3511904,CLEMENTINA,São Paulo,Penápolis,Sem conjunto,Meta
3512001,COLINA,São Paulo,Centelha da Fé,SP02,2º Marco
3512100,COLÔMBIA,São Paulo,Centelha da Fé,SP02,2º Marco
3512209,CONCHAL,São Paulo,Rio de Vida Eterna,SP07,2º Marco
3512308,CONCHAS,São Paulo,Botucatu,Sem conjunto,Meta
3512407,CORDEIRÓPOLIS,São Paulo,Rio Claro,SP07,Incipiente
3512506,COROADOS,São Paulo,Araçatuba,Sem conjunto,Meta
3512605,CORONEL MACEDO,São Paulo,Avaré,Sem conjunto,Meta
3512704,CORUMBATAÍ,São Paulo,Rio Claro,SP07,Incipiente
3512803,COSMÓPOLIS,São Paulo,Limeira,SP08,1º Marco
3512902,COSMORAMA,São Paulo,Votuporanga,Sem conjunto,Meta
3513009,COTIA,São Paulo,Caminhos,SP04,1º Marco
3513108,CRAVINHOS,São Paulo,Luz de Deus,SP03,1º Marco
3513207,CRISTAIS PAULISTA,São Paulo,Franca,Sem conjunto,Meta
3513306,CRUZÁLIA,São Paulo,Assis,Sem conjunto,Meta
3513405,CRUZEIRO,São Paulo,Cruzeiro,Sem conjunto,Meta
3513504,CUBATÃO,São Paulo,Baixada,Sem conjunto,Meta
3513603,CUNHA,São Paulo,Guaratinguetá,SP04,1º Marco
3513702,DESCALVADO,São Paulo,Sol Divino,SP03,2º Marco
3513801,DIADEMA,São Paulo,Seguidores da Glória,SP04,2º Marco
3513850,DIRCE REIS,São Paulo,Jales,Sem conjunto,Meta
3513900,DIVINOLÂNDIA,São Paulo,Aguaí ,Sem conjunto,Meta
3514007,DOBRADA,São Paulo,Araraquara,Sem conjunto,Meta
3514106,DOIS CÓRREGOS,São Paulo,Jaú,Sem conjunto,Meta
3514205,DOLCINÓPOLIS,São Paulo,Jales,Sem conjunto,Meta
3514304,DOURADO,São Paulo,Sol Divino,SP03,2º Marco
3514403,DRACENA,São Paulo,Tupi Paulista,Sem conjunto,Meta
3514502,DUARTINA,São Paulo,Fênix Dourada,SP01,2º Marco
3514601,DUMONT,São Paulo,Luz de Deus,SP03,1º Marco
3514700,ECHAPORÃ,São Paulo,Pompéia,Sem conjunto,Meta
3514809,ELDORADO,São Paulo,Registro,Sem conjunto,Meta
3514908,ELIAS FAUSTO,São Paulo,Indaiatuba,SP05,1º Marco
3514924,ELISIÁRIO,São Paulo,Catanduva,Sem conjunto,Meta
3514957,EMBAÚBA,São Paulo,Monte Azul Paulista,Sem conjunto,Meta
